DE	EN
digital	digital
Klavier; das,	Piano; the
TV-Paket,	TV package,
posten	post
Online einkaufen	Shopping online
Selfie, das, -s	Selfie, the -s
Auswahl, die; Sg:	Selection, the; singular:
WLAN; das; Sg:	WiFi; that; singular:
online-Shopping das, Sg:	online shopping the singular:
herunter }laden	download
online-Kauf, der;	online purchase, which;
steigen	rise
Die sozialen Netzwerke	The social networks
Internet-Nutzer /in, der / die,	Internet users who / the
Video, das, -s	Video, the -s
an{schauen	look at
an'geben	To be given
Musik-CD , die, -s	Music CD , the -s
Medienwelt. die, Sg:	Media world. the singular:
elektronisch	Electronic
auf {wachsen	to growing
Haushaltsgerät, das, -e	Household appliance, the -e
nutzen	use
Netz; das, (hier: Internet) Sg.	Net; the (here: Internet) singular
Online-Ticket, das, -s	Online-Ticket, the -s
Alltag, der; Sg:	Everyday life, the; singular:
ständig	continuous
Hotelzimmer; das,	Hotel Rooms; the
Pflanze, die,	Plant, the
aus {tauschen (sich)	from exchange(s))
Wirtschaft, die, Sg-	Economy, the singular-
verändern	change
Bestellung; die, ~en	Order; the ~en
kommunizieren	communicate
bewerten	Evaluate
dabei	where
Öffnungszeiten, PL.	Opening hours, plural
Videoportal, das, -e	Videoportal, the -e
Produkt, das, -e	Product, the -e
Drittel, das,	Third, the
Ware, die,	Product(s)
Gesprächsforum; das,	Discussion Forum; the
foren	foren
zurück{schicken	backSend back
Chat, der; -s	Chat that; -s
online sein	be online
negativ	Negative
um{gehen (mit)	(with)
an fassen	touch
knüpfen (hier: Kontakte knüpfen)	forging (here: making contacts)
persönlich	Personal
Freude; die, Sg:	Joy; the singular:
unzufrieden	Dissatisfied
Spiele-App; die,	Games app; the
online-Geschäft , das, -e	online business , the -e
selbstverständlich	Of course
Online-Anbieter; der;	online providers; the;
aus{schalten	Turn off
das,	the
süchtig	addicted
positiv	Positive
